Atlas id,Acryonm,[stim] fraction of significance,[stim] lower CL,,[choice] fraction of significance,[choice] lower CL,,[block] fraction of significance,[block] lower CL,,[feeback]fracion of significance,[feeback] lower CL
338,SFO,,,,,,,,,,,
576073699,VMPO,,,,,,,,,,,
689,VLPO,,,,,,,,,,,
88,AHN,,,,,,,,,,,
210,LM,,,,,,,,,,,
491,MM,,,,,,,,,,,
525,SUM,,,,,,,,,,,
557,TM,,,,,,,,,,,
515,MPN,,,,,,,,,,,
980,PMd,,,,,,,,,,,
1004,PMv,,,,,,,,,,,
63,PVHd,,,,,,,,,,,
693,VMH,,,,,,,,,,,
946,PH,,,,,,,,,,,
194,LHA,0,0,,0.060606061,0.01438747,,0.03030303,0.003933629,,,
226,LPO,,,,,,,,,,,
364,PSTN,,,,,,,,,,,
576073704,PeF,,,,,,,,,,,
173,RCH,,,,,,,,,,,
470,STN,,,,,,,,,,,
614,TU,,,,,,,,,,,
797,ZI,0.072727273,0.026947689,,0.222222222,0.121808944,,0.072727273,0.026947692,,0.882352944,0.717470644
302,SCs,,,,,,,,,,,
4,IC,0.05,0.011987236,,0.1,0.036852742,,0.025,0.003295095,,0.676059834,0.435340456
580,NB,,,,,,,,,,,
271,SAG,,,,,,,,,,,
874,PBG,,,,,,,,,,,
381,SNr,,,,,,,,,,,
749,VTA,,,,,,,,,,,
607344830,PN,,,,,,,,,,,
246,RR,,,,,,,,,,,
128,MRN,0.119170984,0.065307167,,0.240469208,0.175548743,,0.067357513,0.034556114,,0.814569249,0.718551155
294,SCm,0.107317073,0.080757103,,0.189655172,0.13192241,,0.07804878,0.04997427,,0.819167963,0.735281764
795,PAG,0.066176471,0.034584531,,0.154411765,0.080010969,,0.102941176,0.061628123,,0.877344632,0.79359445
215,APN,0.060324826,0.041350676,,0.125890736,0.084813854,,0.046403712,0.030092474,,0.842302288,0.768699376
531,MPT,,,,,,,,,,,
628,NOT,,,,,,,,,,,
634,NPC,,,,,,,,,,,
706,OP,,,,,,,,,,,
1061,PPT,,,,,,,,,,,
549009203,RPF,,,,,,,,,,,
616,CUN,,,,,,,,,,,
214,RN,0.064516129,0.023942606,,0.209302326,0.02732707,,0.064516129,0.00479654,,0.837209295,0.690825188
35,III,,,,,,,,,,,
549009211,MA3,,,,,,,,,,,
975,EW,,,,,,,,,,,
115,IV,,,,,,,,,,,
606826663,Pa4,,,,,,,,,,,
757,VTN,,,,,,,,,,,
231,AT,,,,,,,,,,,
66,LT,,,,,,,,,,,
75,DT,,,,,,,,,,,
58,MT,,,,,,,,,,,
374,SNc,,,,,,,,,,,
1052,PPN,0,0,,0.166666667,0.010603296,,0.133333333,0.048787337,,0.9,0.721625193
12,IF,,,,,,,,,,,
100,IPN,,,,,,,,,,,
197,RL,,,,,,,,,,,
591,CLI,,,,,,,,,,,
872,DR,,,,,,,,,,,
612,NLL,,,,,,,,,,,
7,PSV,,,,,,,,,,,
867,PB,0,0,,0.09375,0.024541775,,0,0,,0.812499995,0.632421534
398,SOC,,,,,,,,,,,
280,B,,,,,,,,,,,
880,DTN,,,,,,,,,,,
599626927,PDTg,,,,,,,,,,,
898,PCG,,,,,,,,,,,
931,PG,,,,,,,,,,,
1093,PRNc,0,0,,0.340909091,0.214058273,,0.090909091,0.033564447,,0.909090923,0.776437108
318,SG,,,,,,,,,,,
534,SUT,,,,,,,,,,,
574,TRN,,,,,,,,,,,
621,V,,,,,,,,,,,
549009215,P5,,,,,,,,,,,
549009219,Acs5,,,,,,,,,,,
549009223,PC5,,,,,,,,,,,
549009227,I5,,,,,,,,,,,
679,CS,0,0,,0.212121212,0.000543901,,0,0,,,
147,LC,,,,,,,,,,,
162,LDT,,,,,,,,,,,
604,NI,,,,,,,,,,,
146,PRNr,0.04379562,0.019664944,,0.126984127,0.0788965,,0.04379562,0.016831545,,0.707750824,0.411731754
238,RPO,,,,,,,,,,,
350,SLC,,,,,,,,,,,
358,SLD,,,,,,,,,,,
207,AP,,,,,,,,,,,
96,DCO,0,0,,0.166666667,0.002232766,,0.033333333,0.004288633,,0.900000005,0.721625199
101,VCO,,,,,,,,,,,
711,CU,,,,,,,,,,,
1039,GR,,,,,,,,,,,
903,ECU,,,,,,,,,,,
642,NTB,,,,,,,,,,,
651,NTS,,,,,,,,,,,
429,SPVC,,,,,,,,,,,
437,SPVI,0.058823529,0.002726043,,0.205882353,0.097242601,,0.176470588,0.079022151,,0.693914107,0.468835926
445,SPVO,,,,,,,,,,,
589508451,Pa5,,,,,,,,,,,
653,VI,,,,,,,,,,,
661,VII,,,,,,,,,,,
135,AMB,,,,,,,,,,,
839,DMX,,,,,,,,,,,
1048,GRN,0.080645161,0.016612506,,0.370967742,0.145665513,,0.112903226,0.053969015,,0.822580645,0.704573742
372,ICB,,,,,,,,,,,
83,IO,,,,,,,,,,,
136,IRN,0.151515152,0.054367156,,0.348484848,0.219402237,,0.060606061,0.022508043,,0.854545455,0.731828099
106,ISN,,,,,,,,,,,
203,LIN,,,,,,,,,,,
235,LRN,,,,,,,,,,,
307,MARN,,,,,,,,,,,
395,MDRN,0,0,,0.05,0.006109171,,0.05,0.006109171,,0.550000004,0.32298804
852,PARN,0,0,,0.157894737,0.070739472,,0.105263158,0.022452795,,0.769230772,0.561021742
859,PAS,,,,,,,,,,,
938,PGRN,,,,,,,,,,,
177,NR,,,,,,,,,,,
169,PRP,,,,,,,,,,,
995,PMR,,,,,,,,,,,
1069,PPY,,,,,,,,,,,
209,LAV,,,,,,,,,,,
202,MV,0.055555556,0.017553297,,0.148148148,0.074638235,,0.111111111,9.95E-05,,0.9074074,0.792610254
225,SPIV,,,,,,,,,,,
217,SUV,,,,,,,,,,,
765,x,,,,,,,,,,,
773,XII,,,,,,,,,,,
781,y,,,,,,,,,,,
206,RM,,,,,,,,,,,
230,RPA,,,,,,,,,,,
222,RO,,,,,,,,,,,
912,LING,,,,,,,,,,,
976,CENT2,0.044776119,0.014207229,,0.194029851,0.114980636,,0.089552239,0.040180825,,0.870759378,0.603734128
984,CENT3,,,,,,,,,,,
1091,CUL4 5,0.040909091,0.01171267,,0.109090909,0.055579765,,0.031818182,0.015180648,,0.855893509,0.693446559
936,DEC,,,,,,,,,,,
944,FOTU,,,,,,,,,,,
951,PYR,,,,,,,,,,,
957,UVU,,,,,,,,,,,
968,NOD,0,0,,0,0,,0,0,,0.817531918,0.514451144
1007,SIM,0.081632653,0.019360988,,0.170068027,0.117219613,,0.027210884,0.010166403,,0.880772899,0.774099339
1056,ANcr1,0.07751938,0.041966574,,0.07751938,0.035150909,,0.031007752,0.011577353,,0.860465116,0.788579955
1064,ANcr2,,,,,,,,,,,
1025,PRM,0,0,,0.112903226,0.050746834,,0.064516129,0.023942604,,0.839909398,0.721775237
1033,COPY,0,0,,0.379310345,0.218160881,,0.172413793,0.070725052,,0.896551727,0.713095987
1041,PFL,,,,,,,,,,,
1049,FL,,,,,,,,,,,
989,FN,,,,,,,,,,,
91,IP,0,0,,0.096,0.055022289,,0.008,0.001104203,,0.896,0.828297845
846,DN,,,,,,,,,,,
589508455,VeCB,,,,,,,,,,,
