,pid,Beryl,nclus,#pids
320,ae2b9f1b-ebe3-4b56-8957-31982186e6ec,LSr,41,24
322,ae2b9f1b-ebe3-4b56-8957-31982186e6ec,MOs,42,39
323,c536b0a9-b710-43c3-ba2c-5a0cccf98ec2,CA3,14,59
324,c536b0a9-b710-43c3-ba2c-5a0cccf98ec2,CA2,23,10
325,c536b0a9-b710-43c3-ba2c-5a0cccf98ec2,CA1,17,118
327,e55266c7-eb05-47bb-b263-1cc08dc3c00c,APN,17,40
329,e55266c7-eb05-47bb-b263-1cc08dc3c00c,DG,13,95
330,e55266c7-eb05-47bb-b263-1cc08dc3c00c,CA1,17,118
331,e55266c7-eb05-47bb-b263-1cc08dc3c00c,VISam,44,16
332,e55266c7-eb05-47bb-b263-1cc08dc3c00c,VISa,28,41
333,f2ee886d-5b9c-4d06-a9be-ee7ae8381114,APN,14,40
337,f2ee886d-5b9c-4d06-a9be-ee7ae8381114,VISa,30,41
341,04690e35-ab38-41db-982c-50cbdf8d0dd1,ZI,17,34
343,04690e35-ab38-41db-982c-50cbdf8d0dd1,VPM,38,33
344,b46e219c-6a87-4a93-9924-1070841381e9,VPM,10,33
347,b46e219c-6a87-4a93-9924-1070841381e9,SSp-un,35,3
348,5810514e-2a86-4a34-b7bd-1e4b0b601295,VM,15,6
349,5810514e-2a86-4a34-b7bd-1e4b0b601295,VAL,19,7
352,1841cf1f-725d-499e-ab8e-7f6fc8c308b6,CA1,27,118
354,1841cf1f-725d-499e-ab8e-7f6fc8c308b6,CA3,14,59
356,220bca21-4cf8-43f1-a213-71645899c571,LGd,24,20
362,461ecb39-ab58-4a6c-acd7-22da5b4b4b22,MG,19,12
366,8d59da25-3a9c-44be-8b1a-e27cdd39ca34,VPM,10,33
368,8d59da25-3a9c-44be-8b1a-e27cdd39ca34,LP,19,59
376,43d4f889-4b05-44df-8306-ea10f854776f,RSPd,11,21
381,188fe7d5-fd1c-494f-88bc-672d77b9779e,DG,11,95
383,188fe7d5-fd1c-494f-88bc-672d77b9779e,SSp-tr,31,12
384,0ce74616-abf8-47c2-86d9-f821cd25efd3,CENT3,87,19
385,0ce74616-abf8-47c2-86d9-f821cd25efd3,CUL4 5,17,25
387,04db6b9e-a80c-4507-a98e-ad76294ac444,SUV,10,8
389,04db6b9e-a80c-4507-a98e-ad76294ac444,CENT3,30,19
