,eid,label,mp4,timestamps,frames_match,dlc,features,licks,duration,videoQC,dlcQC,videoQC_focus,videoQC_position,videoQC_framerate,videoQC_pin_state,videoQC_brightness,videoQC_resolution,videoQC_timestamps,videoQC_camera_times,videoQC_file_headers,videoQC_dropped_frames,videoQC_wheel_alignment,dlcQC_paw_far_nan,dlcQC_mean_in_bbox,dlcQC_paw_close_nan,dlcQC_pupil_blocked,dlcQC_trace_all_nan,dlcQC_lick_detection,dlcQC_pupil_diameter_snr,dlcQC_time_trace_length_match
708,21e16736-fd59-44c7-b938-9b1333d25da8,left,True,True,True,True,True,True,3965.0,WARNING,PASS,True,True,"[True, 60.12]",,True,True,True,"[True, 0]",True,,"[True, 3]",True,True,True,True,True,True,"[False, 7.666]",True
709,21e16736-fd59-44c7-b938-9b1333d25da8,right,True,True,True,True,True,True,3979.0,WARNING,PASS,True,True,"[True, 150.754]",,True,True,True,"[True, 1]",True,,"[True, 9]",True,True,True,True,True,True,"[False, 1.187]",True
710,21e16736-fd59-44c7-b938-9b1333d25da8,body,True,True,True,True,False,True,3977.0,PASS,PASS,True,True,"[True, 30.151]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
711,53738f95-bd08-4d9d-9133-483fdb19e8da,left,True,True,True,True,True,True,2741.0,WARNING,PASS,True,True,"[True, 60.12]",,True,True,True,"[True, 0]",True,,"[True, 3]",True,True,True,True,True,True,"[False, 5.559]",True
712,53738f95-bd08-4d9d-9133-483fdb19e8da,right,True,True,True,True,True,True,2751.0,WARNING,WARNING,True,True,"[True, 150.754]",,True,True,True,"[True, 0]",True,,"[True, 2]",True,True,True,True,True,True,"[False, 2.334]",True
713,53738f95-bd08-4d9d-9133-483fdb19e8da,body,True,True,True,True,False,True,2749.0,PASS,PASS,True,True,"[True, 30.151]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
714,d33baf74-263c-4b37-a0d0-b79dcb80a764,left,True,True,True,True,True,True,3112.0,WARNING,PASS,True,True,"[True, 60.006]",,True,True,True,"[True, 0]",True,,"[True, 2]",True,True,True,True,True,True,"[False, 1.017]",True
715,d33baf74-263c-4b37-a0d0-b79dcb80a764,right,True,True,True,True,True,True,3118.0,WARNING,FAIL,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 5]",False,True,True,True,True,True,"[False, 3.707]",True
716,d33baf74-263c-4b37-a0d0-b79dcb80a764,body,True,True,True,True,False,True,3125.0,PASS,PASS,True,True,"[True, 30.154]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
717,259927fd-7563-4b03-bc5d-17b4d0fa7a55,left,True,True,True,True,True,True,3586.0,WARNING,PASS,True,True,"[True, 60.006]",,True,True,True,"[True, 0]",True,,"[True, 3]",True,True,True,True,True,True,"[False, 2.915]",True
718,259927fd-7563-4b03-bc5d-17b4d0fa7a55,right,True,True,True,True,True,True,3593.0,WARNING,FAIL,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 3]",False,True,True,True,True,True,"[False, 0.824]",True
719,259927fd-7563-4b03-bc5d-17b4d0fa7a55,body,True,True,True,True,False,True,3601.0,PASS,PASS,True,True,"[True, 30.154]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
720,510b1a50-825d-44ce-86f6-9678f5396e02,left,True,True,True,True,True,True,4817.0,WARNING,PASS,True,True,"[True, 60.126]",,True,True,True,"[True, 0]",True,,"[True, 2]",True,True,True,True,True,True,"[False, 1.301]",True
721,510b1a50-825d-44ce-86f6-9678f5396e02,right,True,True,True,True,True,True,4839.0,WARNING,FAIL,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 6]",False,True,True,True,True,True,"[False, 0.89]",True
722,510b1a50-825d-44ce-86f6-9678f5396e02,body,True,True,True,True,False,True,4847.0,PASS,PASS,True,True,"[True, 30.215]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
723,193fe7a8-4eb5-4f3e-815a-0c45864ddd77,left,True,True,True,True,True,True,4281.0,WARNING,PASS,True,True,"[True, 60.126]",,True,True,True,"[True, 0]",True,,"[True, 3]",True,True,True,True,True,True,"[False, 2.476]",True
724,193fe7a8-4eb5-4f3e-815a-0c45864ddd77,right,True,True,True,True,True,True,4300.0,WARNING,FAIL,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 2]",False,True,True,True,True,True,"[False, 2.282]",True
725,193fe7a8-4eb5-4f3e-815a-0c45864ddd77,body,True,True,True,True,False,True,4308.0,PASS,PASS,True,True,"[True, 30.215]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
726,ff4187b5-4176-4e39-8894-53a24b7cf36b,left,True,True,True,True,True,True,3933.0,WARNING,PASS,True,True,"[True, 60.126]",,True,True,True,"[True, 0]",True,,"[True, 5]",True,True,True,True,True,True,"[True, 10.641]",True
727,ff4187b5-4176-4e39-8894-53a24b7cf36b,right,True,True,True,True,True,True,3951.0,WARNING,FAIL,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 5]",False,True,True,True,True,True,"[False, 1.347]",True
728,ff4187b5-4176-4e39-8894-53a24b7cf36b,body,True,True,True,True,False,True,3958.0,PASS,PASS,True,True,"[True, 30.215]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
729,465c44bd-2e67-4112-977b-36e1ac7e3f8c,left,True,True,True,True,True,True,2557.0,WARNING,PASS,True,True,"[True, 60.126]",,True,True,True,"[True, 0]",True,,"[True, 3]",True,True,True,True,True,True,"[True, 19.407]",True
730,465c44bd-2e67-4112-977b-36e1ac7e3f8c,right,True,True,True,True,True,True,2569.0,WARNING,FAIL,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 3]",False,True,True,True,True,True,"[False, 1.783]",True
731,465c44bd-2e67-4112-977b-36e1ac7e3f8c,body,True,True,True,True,False,True,2573.0,PASS,PASS,True,True,"[True, 30.215]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
732,e49d8ee7-24b9-416a-9d04-9be33b655f40,left,True,True,True,True,True,True,2818.0,WARNING,PASS,True,True,"[True, 60.126]",,True,True,True,"[True, 0]",True,,"[True, 2]",True,True,True,True,True,True,"[False, 9.026]",True
733,e49d8ee7-24b9-416a-9d04-9be33b655f40,right,True,True,True,True,True,True,2831.0,WARNING,FAIL,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 6]",False,True,True,True,True,True,"[False, 1.394]",True
734,e49d8ee7-24b9-416a-9d04-9be33b655f40,body,True,True,True,True,False,True,2836.0,PASS,PASS,True,True,"[True, 30.215]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
735,ee40aece-cffd-4edb-a4b6-155f158c666a,left,True,True,True,True,True,True,4949.0,WARNING,PASS,True,True,"[True, 60.126]",,True,True,True,"[True, 0]",True,,"[True, 3]",True,True,True,True,True,True,"[False, 7.908]",True
736,ee40aece-cffd-4edb-a4b6-155f158c666a,right,True,True,True,True,True,True,4971.0,WARNING,FAIL,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 5]",False,True,True,True,True,True,"[False, 0.694]",True
737,ee40aece-cffd-4edb-a4b6-155f158c666a,body,True,True,True,True,False,True,4980.0,PASS,PASS,True,True,"[True, 30.215]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
738,f8d5c8b0-b931-4151-b86c-c471e2e80e5d,left,True,True,True,True,True,True,3857.0,WARNING,PASS,True,True,"[True, 60.126]",,True,True,True,"[True, 0]",True,,"[True, 2]",True,True,True,True,True,True,"[False, 5.364]",True
739,f8d5c8b0-b931-4151-b86c-c471e2e80e5d,right,True,True,True,True,True,True,3874.0,WARNING,FAIL,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 3]",False,True,True,True,True,True,"[False, 1.156]",True
740,f8d5c8b0-b931-4151-b86c-c471e2e80e5d,body,True,True,True,True,False,True,3881.0,PASS,PASS,True,True,"[True, 30.215]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
741,cb2ad999-a6cb-42ff-bf71-1774c57e5308,left,True,True,True,True,True,True,4414.0,WARNING,PASS,True,True,"[True, 60.006]",,True,True,True,"[True, 0]",True,,"[True, 3]",True,True,True,True,True,True,"[False, 7.457]",True
742,cb2ad999-a6cb-42ff-bf71-1774c57e5308,right,True,True,True,True,True,True,4423.0,WARNING,PASS,True,True,"[True, 150.769]",,True,True,True,"[True, 0]",True,,"[True, 5]",True,True,True,True,True,True,"[False, 1.712]",True
743,cb2ad999-a6cb-42ff-bf71-1774c57e5308,body,True,True,True,True,False,True,4432.0,PASS,PASS,True,True,"[True, 30.154]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
744,934dd7a4-fbdc-459c-8830-04fe9033bc28,left,True,True,True,True,True,True,4497.0,WARNING,PASS,True,True,"[True, 60.006]",,True,True,True,"[True, 3]",True,,"[True, 3]",True,True,True,True,True,True,"[True, 11.818]",True
745,934dd7a4-fbdc-459c-8830-04fe9033bc28,right,True,True,True,True,True,True,4493.0,WARNING,PASS,True,True,"[True, 150.015]",,True,True,True,"[True, 1]",True,,"[True, 6]",True,True,True,True,True,True,"[True, 12.031]",True
746,934dd7a4-fbdc-459c-8830-04fe9033bc28,body,True,True,True,True,False,True,4505.0,PASS,PASS,True,True,"[True, 30.063]",,True,True,True,"[True, 0]",True,,,,True,,,True,,,True
747,fe1fd79f-b051-411f-a0a9-2530a02cc78d,left,True,True,True,True,True,True,4153.0,WARNING,PASS,True,True,"[True, 60.006]",,True,True,True,"[True, 0]",True,,"[True, 3]",True,True,True,True,True,True,"[True, 18.49]",True
