source name,source #neur,target name,target #neur,Granger score,corrected p,eid
MRN,29,PPN,32,0.004324907061100509,0.014241301281867801,93ad879a-aa42-4150-83e1-38773c9785e4
CP,48,SSp-bfd,18,0.004323684142814033,0.014241301281867801,af55d16f-0e31-4073-bdb5-26da54914aa2
LIN,11,IRN,35,0.004323604556850558,0.014241301281867801,7939711b-8b4d-4251-b698-b97c1eaa846e
VAL,11,AV,19,0.004323604114411683,1.0,741979ce-3f10-443a-8526-2275620c8473
DEC,61,PYR,12,0.0043207732928058976,1.0,d3a2b25e-46d3-4f0b-ade6-4e32255f4c35
LD,14,SCm,30,0.00431907477916357,1.0,948fd27b-507b-41b3-bdf8-f9f5f0af8e0b
PRP,35,PGRN,26,0.004316978694549358,0.014241301281867801,aec5d3cc-4bb2-4349-80a9-0395b76f04e2
PAG,22,APN,22,0.004305968273098988,0.014241301281867801,952870e5-f2a7-4518-9e6d-71585460f6fe
V,61,PB,13,0.004304588235252938,0.014241301281867801,09394481-8dd2-4d5c-9327-f2753ede92d7
SPIV,29,DCO,13,0.00430347179710022,0.014241301281867801,c728f6fd-58e2-448d-aefb-a72c637b604c
MV,21,CENT3,48,0.004300363624828896,0.014241301281867801,72cb5550-43b4-4ef0-add5-e4adfdfb5e02
MOs,53,DP,11,0.004298631209713584,0.014241301281867801,6f6d2c8e-28be-49f4-ae4d-06be2d3148c1
VISam,25,MRN,15,0.004297910957397666,0.014241301281867801,a2b9fbbe-79fc-4166-a16e-b307813a2f06
LP,24,VPM,21,0.004297735321264089,0.014241301281867801,0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9
PAG,25,TRN,18,0.004296161823212819,0.014241301281867801,993c7024-0abc-4028-ad30-d397ad55b084
IP,16,MV,35,0.004292897425412201,0.014241301281867801,a7763417-e0d6-4f2a-aa55-e382fd9b5fb8
CUL4 5,13,NOD,29,0.004287137705781736,0.014241301281867801,25d1920e-a2af-4b6c-9f2e-fc6c65576544
APN,44,VISa,24,0.0042866489325811006,0.014241301281867801,3e6a97d3-3991-49e2-b346-6948cb4580fb
SSp-bfd,52,VPL,40,0.004285272643460556,0.014241301281867801,3537d970-f515-4786-853f-23de525e110f
SSp-tr,37,DG,24,0.004282565185074767,0.04080898366927816,510b1a50-825d-44ce-86f6-9678f5396e02
SCm,53,RN,25,0.0042805119027045264,0.4751974310729685,111c1762-7908-47e0-9f40-2f2ee55b6505
Eth,16,PO,32,0.004276972076843422,0.014241301281867801,d23a44ef-1402-4ed7-97f5-47e9a7a504d9
SSp-ll,31,CP,94,0.004276467613729902,1.0,465c44bd-2e67-4112-977b-36e1ac7e3f8c
VISpor,67,VISa,32,0.0042747930164883695,0.014241301281867801,b22f694e-4a34-4142-ab9d-2556c3487086
MRN,24,RN,15,0.0042732508292994305,0.014241301281867801,14127fdb-2e66-4823-b124-f49c128ba94d
CUL4 5,155,PO,76,0.0042726529987659355,0.014241301281867801,72cb5550-43b4-4ef0-add5-e4adfdfb5e02
PAG,19,RSPd,20,0.0042705254278195695,1.0,3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b
SUB,85,CP,12,0.004268636223850406,0.014241301281867801,35ed605c-1a1a-47b1-86ff-2b56144f55af
MRN,26,VISa,22,0.004263123231499835,0.014241301281867801,54238fd6-d2d0-4408-b1a9-d19d24fd29ce
CS,25,POST,11,0.004262453924031557,0.014241301281867801,fd03d365-91df-41e2-ad81-9e0e4b9f5c7b
DG,16,VISam,19,0.004260922162444569,0.014241301281867801,dd4da095-4a99-4bf3-9727-f735077dba66
PO,56,LGd,20,0.004260149021980824,0.014241301281867801,1a507308-c63a-4e02-8f32-3239a07dc578
VPM,39,LP,91,0.004257943483357609,1.0,0802ced5-33a3-405e-8336-b65ebc5cb07c
CP,104,ORBvl,84,0.00425674042342183,0.014241301281867801,8207abc6-6b23-4762-92b4-82e05bed5143
