,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
38,RSPv,0.9223929196679758,False,7.0,19.714285714285715,0.028056953626468848,0.5470610556208382,-0.016724721899838868,0.0,,0.558413693346191
39,VISa,0.9895247923199372,False,23.0,24.608695652173914,0.04124010396172667,0.5624542928184877,-0.00972909220815077,0.0,,0.57029918699187
40,VISrl,0.7317096987021227,False,2.0,21.0,0.06101974109196745,0.5637820881763254,-0.010442561185268762,0.0,,0.5742246493615941
41,TEa,0.24547439763140916,False,5.0,26.0,0.03201806077299862,0.572839696223317,0.025386886516840956,0.0,,0.5733753315649868
42,PERI,,,,,,,,,,
43,ECT,0.24970000800552863,False,3.0,12.0,0.006928205326849849,0.5332899305555555,0.02556309180788041,0.0,,0.5128343118069145
44,MOB,,,,,,,,,,
45,AOB,,,,,,,,,,
46,AON,0.5977241254211876,False,7.0,28.571428571428573,0.0390963263495904,0.5506638714185883,-0.005813860016703365,0.0,,0.5577257909875359
47,TTd,0.6467706621038583,False,7.0,24.857142857142858,0.04421145137808771,0.5401933701657459,0.003686860434858885,0.0,,0.5326244522781932
48,TTv,,,,,,,,,,
49,DP,0.6607184150469796,False,7.0,24.571428571428573,0.034851266717224626,0.5328339640788676,-0.002578087921745742,0.0,,0.5421452351227632
50,PIR,0.14483815252043664,False,10.0,32.3,0.019626055569746465,0.5484357495153578,0.024987742328549445,0.0,,0.5329237623906309
51,NLOT,,,,,,,,,,
52,COAa,,,,,,,,,,
53,COAp,0.34816988017381395,False,3.0,20.0,0.08849641204830423,0.5547848274410775,0.025335346426756056,0.0,,0.5294494810143214
54,PAA,0.8539964612813432,False,2.0,22.0,0.005544996736329522,0.5185997096899302,-0.014982920357934582,0.0,,0.5335826300478648
55,TR,,,,,,,,,,
56,CA1,0.4476813770840773,False,27.0,23.40740740740741,0.05883080539129919,0.542304229115836,0.0022594391781185497,0.07407407407407407,0.7014560548164592,0.5591594827586206
57,CA2,,,,,,,,,,
58,CA3,0.4423350766355797,False,15.0,22.866666666666667,0.05826364966251772,0.5672810580027076,0.009621074236145999,0.06666666666666667,0.7422412062823021,0.5569159968887737
59,DG,0.696425502569749,False,15.0,18.8,0.037347240482711756,0.5258913712239649,-0.008107167393161752,0.06666666666666667,0.602555086732302,0.5516955498502354
60,FC,,,,,,,,,,
61,IG,,,,,,,,,,
62,ENTl,0.9735553213663477,False,7.0,35.285714285714285,0.027894016550265282,0.5353565365025467,-0.032220223838773654,0.0,,0.5497063174382179
63,ENTm,0.21415516403986917,False,5.0,36.4,0.041766379970211626,0.5797699343989652,0.016934286250817054,0.0,,0.550801282051282
64,PAR,0.38352999164229146,False,5.0,13.8,0.015099224846613359,0.5402178466694596,0.004277745775729702,0.0,,0.5393699758185739
65,POST,0.9421736666049083,False,3.0,12.333333333333334,0.017751434619428373,0.5242565284178187,-0.02243702493480737,0.0,,0.5407228560912771
66,PRE,0.6078236474671497,False,2.0,20.5,0.024804310508496016,0.5333841921653009,-0.0038088522685881254,0.0,,0.5371930444338889
67,SUB,0.6074992565806743,False,6.0,44.333333333333336,0.02697902134486096,0.5459740753404725,-0.013407510462653871,0.0,,0.5643558673469389
