,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
56,CA1,0.03889629375795008,True,28.0,24.107142857142858,0.06837755064813082,-0.0072358009953484,0.0010551966383880508,0.10714285714285714,0.0031833789396935,-0.0073726739546958
57,CA2,,,,,,,,,,
58,CA3,0.46614454779456826,False,15.0,22.866666666666667,0.0055177924045467725,-0.0065461384576126,0.0002027897401870992,0.06666666666666667,0.0121783545596823,-0.0068462515866832
59,DG,0.44389874731894313,False,15.0,18.8,0.00491659795959216,-0.0073010174438842,0.00020181815548919908,0.0,,-0.007806196104189
60,FC,,,,,,,,,,
61,IG,,,,,,,,,,
62,ENTl,0.021001191154022374,True,7.0,35.285714285714285,0.005898562196496042,-0.0038119167457448,0.0006591410238720001,0.2857142857142857,0.0004882636123186002,-0.0081151120625554
63,ENTm,0.8916637982543988,False,5.0,36.4,0.0020080593887965045,-0.0109251819130311,-0.0020373252875103987,0.0,,-0.0092162645326513
64,PAR,0.2743066522521108,False,5.0,13.8,0.023798114908081872,-0.0114947461974161,-0.0054896616589089,0.2,0.0405847948796557,-0.0077347715050434
65,POST,0.2093534538983949,False,3.0,12.333333333333334,0.00893184933777417,-0.0091868234206531,-0.0011405372795907,0.3333333333333333,0.0087158304474265,-0.0080462861410624
66,PRE,0.9165167839153089,False,2.0,20.5,0.0018891332954441,-0.011792340266339602,-0.0035983972673489005,0.0,,-0.0081939429989907
67,SUB,0.9791542292976335,False,7.0,40.714285714285715,0.0034452476542537924,-0.0122242911842955,-0.0014292953913422005,0.0,,-0.0085696513040164
68,ProS,0.6058222070469406,False,7.0,25.0,0.0030222442827277487,-0.0070819745802825,0.0003898526081479001,0.0,,-0.006720009759365
69,HATA,,,,,,,,,,
70,APr,,,,,,,,,,
71,CLA,,,,,,,,,,
72,EPd,0.08992084819229279,False,3.0,17.0,0.0010631716208840747,-0.0043836723910903,0.0022022798080102,0.3333333333333333,-0.0023564232799473,-0.0057493513393452
73,EPv,0.6905463455460331,False,2.0,22.0,0.0018017102792655003,-0.0064770004413999,-0.0012199441696955503,0.0,,-0.0052570562717043495
74,LA,,,,,,,,,,
75,BLA,0.17534554889595325,False,6.0,17.333333333333332,0.002933462030127586,-0.00728446574726655,0.0016145943631478998,0.16666666666666666,-0.0048764773339804,-0.010095982865626501
76,BMA,0.23658313356401173,False,6.0,20.166666666666668,0.0032863276064939075,-0.0065850617056463,0.00220326699852135,0.0,,-0.0090847320955514
77,PA,0.9241017974378727,False,3.0,19.0,0.0021502236729651902,-0.0121817122129433,-0.0020906821460831004,0.0,,-0.0083885550815319
78,CP,1.6982753188307692e-06,True,41.0,40.292682926829265,0.06833080513473443,-0.0055508254082516,0.0012124796617896992,0.2682926829268293,0.1220458664753492,-0.0072030098714677
79,ACB,0.058716909324278636,False,10.0,19.2,0.009980620025774621,-0.0072803880470213,0.00192373749740825,0.2,0.005217129395222,-0.008273380827066301
80,FS,,,,,,,,,,
81,OT,0.20401992216131767,False,3.0,12.0,0.0031330206663367183,-0.0093594858453565,0.0017751384489534984,0.0,,-0.01113462429431
82,LSc,,,,,,,,,,
83,LSr,0.7770195195361757,False,22.0,34.59090909090909,0.005784765745651838,-0.00733232644397055,-0.0006824232024935004,0.045454545454545456,0.003283593374372,-0.00669569791702575
84,LSv,0.300956725690923,False,3.0,18.666666666666668,0.0030836284600366973,-0.006214129824256,0.0012872114845880003,0.0,,-0.0085571181031882
85,SF,,,,,,,,,,
86,SH,,,,,,,,,,
87,AAA,,,,,,,,,,
88,BA,,,,,,,,,,
89,CEA,0.19895355515148125,False,4.0,26.0,0.004091236732240079,-0.00467148841720695,0.0005950470318120491,0.25,-0.0008103469567221,-0.0051258031483728
90,IA,,,,,,,,,,
91,MEA,0.07903047581527865,False,4.0,23.75,0.0012011318578541235,-0.006865760247681849,0.002428450124385051,0.25,-0.0041348925185636,-0.00930896404449525
92,GPe,5.880396356584369e-05,True,5.0,17.6,0.07139472524384889,0.0215275239874094,0.0358431605740546,0.8,0.0336748519073934,-0.0076859164402929
93,GPi,,,,,,,,,,
94,SI,0.9394644812560531,False,5.0,12.8,0.004533508056780916,-0.0101112383749253,-0.0031381718956909003,0.0,,-0.0080151459185501
95,MA,,,,,,,,,,
96,MS,0.21344191212564748,False,3.0,13.666666666666666,0.0033658736950000576,-0.0092306140195285,0.0010177356171956996,0.3333333333333333,-0.0039337420299693,-0.0092958029554348
97,NDB,,,,,,,,,,
98,TRS,,,,,,,,,,
99,BST,0.09258927086902029,False,5.0,13.8,0.003506123002780899,-0.0085791318168127,0.0018313249496003,0.2,-0.0030151505129602,-0.0085406849889869
100,VAL,0.006930964212791137,True,5.0,23.0,0.008950237771548592,-0.0072411049026992,0.0012434690232451008,0.4,0.00877973408136455,-0.0074011797028145
